ID,Tựa đề,Link truyện,Phương thức dịch,Thể loại,Manga,Anime,CD,Ngôn ngữ gốc,Link ảnh,Tác giả,Họa sĩ,Kiểu trình bày,Tình trạng,Số like,Số từ,Số lượt đánh giá,Số lượt xem,Số lượt bình luận,Fname,ID người dịch,Người dịch,Link người dịch,ID nhóm dịch,Nhóm dịch,Link nhóm dịch,ID người tham gia,Người tham gia,Link người tham gia,Số tập,Số chương,Ngày bắt đầu,Tháng bắt đầu,Năm bắt đầu,Ngày cập nhật cuối,Tháng cập nhật cuối,Năm cập nhật cuối
216,Arifureta Shokugyou de Sekai Saikyou,https://ln.hako.vn/truyen/216-arifureta-shokugyou-de-sekai-saikyou,Truyện dịch,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Harem', 'Romance', '']",Not sure,Not sure,Not sure,japanese,https://4.bp.blogspot.com/-JVqPzrSQWRs/WVc0Z8f4AfI/AAAAAAAAdPk/2eZfK0WNeiY1t1febQv__JSsXzH1h4ErQCHMYCw/w215/default.jpg,Shirakome Ryou (Chuuni Suki),Takayaki,light novel,Đang tiến hành,3505.0,517257,298.0,3438851,3104,ありふれた職業で世界最強,13,kysido22,https://ln.hako.vn/thanh-vien/13,3,Sonata no Koe,https://ln.hako.vn/nhom-dich/3-sonata-no-koe,NOT FOUND,NOT FOUND,NOT FOUND,11,99,1,7,2017,8,11,2017
218,Sekai no Owari no Encore,https://ln.hako.vn/truyen/218-sekai-no-owari-no-encore,Truyện dịch,"['Action', 'Fantasy', 'Harem']",Not sure,Not sure,Not sure,japanese,https://2.bp.blogspot.com/-kBhNQslwFkE/WUtbfwe9OkI/AAAAAAAAbRg/V2idNd4svWUhTNJgDTNEdwc3Fg92vYRAACHMYCw/w215/default.jpg,Kei Sazane,Haruaki Fuyuno,light novel,Đang tiến hành,371.0,92600,12.0,67076,20,"世界の終わりの世界録<アンコール> , Sekai no Owari no Sekairoku<Encore>
Encore of the World’s End
Sekai no Owari no Encore
World's End Encorew",13,kysido22,https://ln.hako.vn/thanh-vien/13,3,Sonata no Koe,https://ln.hako.vn/nhom-dich/3-sonata-no-koe,NOT FOUND,NOT FOUND,NOT FOUND,8,19,22,6,2017,22,6,2017
221,Strike the Blood,https://ln.hako.vn/truyen/221-strike-the-blood,Truyện dịch,"['Action', 'Comedy', 'Fantasy']",Not sure,Not sure,Not sure,japanese,https://4.bp.blogspot.com/-ObMKxehu9sg/WWMVrsGtW4I/AAAAAAAAfBA/pAOLQqMvhUURNZG7AbjE7F0Hrq2zybGQgCHMYCw/w215/default.jpg,Gakuto Mikumo,Manyako,light novel,Tạm ngưng,365.0,385477,19.0,130130,9,NOT FOUND,13,kysido22,https://ln.hako.vn/thanh-vien/13,3,Sonata no Koe,https://ln.hako.vn/nhom-dich/3-sonata-no-koe,NOT FOUND,NOT FOUND,NOT FOUND,17,55,10,7,2017,10,7,2017
225,Slayers,https://ln.hako.vn/truyen/225-slayers,Truyện dịch,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Drama']",Not sure,Not sure,Not sure,japanese,https://i2.docln.net/ln/series/covers/s225-f46da4ce-2edc-4edb-960f-39faa2e8aaf1.jpg,Hajime Kanzaka,Rui Araizumi,light novel,Tạm ngưng,56.0,357723,0.0,72507,78,スレイヤーズ,NOT FOUND,Sivala,https://ln.hako.vn/thanh-vien/88077,2204,Dumbface,https://ln.hako.vn/nhom-dich/2204-dumbface,"1
160450","Embers
Wassup, doc?","https://ln.hako.vn/thanh-vien/1
https://ln.hako.vn/thanh-vien/160450",9,57,11,11,2016,1,5,2024
226,Hanbun no Tsuki ga Noboru Sora,https://ln.hako.vn/truyen/226-hanbun-no-tsuki-ga-noboru-sora,Truyện dịch,"['Drama', 'Romance']",Not sure,Not sure,Not sure,japanese,https://1.bp.blogspot.com/-5HCMYTQCu3Q/WO2v5h_HCNI/AAAAAAAAJ_I/ob3xQpNIFfA/w215/series_226.jpg,Tsumugu Hashimoto,Keiji Yamamoto,light novel,Đang tiến hành,91.0,42631,7.0,16374,3,半分の月がのぼる空,1,EmbersGlow,https://ln.hako.vn/thanh-vien/1,3,Sonata no Koe,https://ln.hako.vn/nhom-dich/3-sonata-no-koe,NOT FOUND,NOT FOUND,NOT FOUND,1,6,11,11,2016,11,11,2016
227,Mimizuku to Yoru no Ou,https://ln.hako.vn/truyen/227-mimizuku-to-yoru-no-ou,Truyện dịch,['Fantasy'],Not sure,Not sure,Not sure,japanese,https://i.docln.net/lightnovel/covers/s227-a102be2e-c6c3-4916-bc55-be955ccc08e5-m.jpg,Kougyoku Izuki,NOT FOUND,web novel,Đã hoàn thành,120.0,48012,22.0,34269,9,NOT FOUND,1,EmbersGlow,https://ln.hako.vn/thanh-vien/1,3,Sonata no Koe,https://ln.hako.vn/nhom-dich/3-sonata-no-koe,NOT FOUND,NOT FOUND,NOT FOUND,1,12,11,11,2016,11,11,2016
229,Kagerou Project,https://ln.hako.vn/truyen/229-kagerou-project,Truyện dịch,"['Comedy', 'Drama', 'Mystery', 'Supernatural', 'Romance']",Not sure,Not sure,Not sure,japanese,https://2.bp.blogspot.com/-Kxzz5QEHkRc/WO2v6PGI6OI/AAAAAAAAJ_U/5rXSZk4UzSA/w215/series_229.jpg,Jin,Shidu,light novel,Đang tiến hành,163.0,147895,11.0,58866,6,NOT FOUND,1,EmbersGlow,https://ln.hako.vn/thanh-vien/1,3,Sonata no Koe,https://ln.hako.vn/nhom-dich/3-sonata-no-koe,NOT FOUND,NOT FOUND,NOT FOUND,5,38,11,11,2016,11,11,2016
23,Monogatari Series,https://ln.hako.vn/truyen/23-monogatari-series,Truyện dịch,"['Comedy', 'Drama', 'Harem', 'School Life', 'Supernatural', 'Romance']",Not sure,Not sure,Not sure,japanese,https://3.bp.blogspot.com/-2u6PF-0Vwbk/WO2vceFopnI/AAAAAAAAJyk/x2c5yeNMd8k/w215/series_23.jpg,NisiOisiN,VOFAN,light novel,Tạm ngưng,348.0,675415,31.0,282713,66,Yêu ma kì truyện,1,EmbersGlow,https://ln.hako.vn/thanh-vien/1,1,Hako Translation,https://ln.hako.vn/nhom-dich/1-hako-translation,NOT FOUND,NOT FOUND,NOT FOUND,14,169,11,11,2016,11,11,2016
231,Kokoro Connect,https://ln.hako.vn/truyen/231-kokoro-connect,Truyện dịch,"['Comedy', 'Drama', 'Romance']",Not sure,Not sure,Not sure,japanese,https://4.bp.blogspot.com/-pvbs-G0zUVo/WO2v6ll-ubI/AAAAAAAAJ_c/rI0CZG87okk/w215/series_231.jpg,Sadanatsu Anda,Shiromizakan,light novel,Đang tiến hành,113.0,195942,7.0,35802,13,NOT FOUND,9,Meiyaku,https://ln.hako.vn/thanh-vien/9,3,Sonata no Koe,https://ln.hako.vn/nhom-dich/3-sonata-no-koe,NOT FOUND,NOT FOUND,NOT FOUND,3,36,11,11,2016,24,12,2016
232,Taimadou Gakuen 35 Shiken Shoutai,https://ln.hako.vn/truyen/232-taimadou-gakuen-35-shiken-shoutai,Truyện dịch,"['Action', 'Fantasy', 'Harem', 'School Life', 'Romance']",Not sure,Not sure,Not sure,japanese,https://1.bp.blogspot.com/-COrcnqJPfMc/WO2v6w9ahEI/AAAAAAAAJ_g/wlRd3bROXlw/w215/series_232.jpg,YANAGIMI Touki,Kippu,light novel,Đang tiến hành,493.0,422459,26.0,100863,51,Antimagic Academy 35th Test Platoon,9,Meiyaku,https://ln.hako.vn/thanh-vien/9,3,Sonata no Koe,https://ln.hako.vn/nhom-dich/3-sonata-no-koe,11567,Silverlord,https://ln.hako.vn/thanh-vien/11567,15,61,11,11,2016,11,1,2019
234,Haken no Kouki Altina,https://ln.hako.vn/truyen/234-haken-no-kouki-altina,Truyện dịch,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Harem', 'Romance']",Not sure,Not sure,Not sure,japanese,https://2.bp.blogspot.com/-pJxLv21kWyw/WO2v7A8IwRI/AAAAAAAAJ_o/jjRsMid7MR0/w215/series_234.jpg,Yukiya Murasaki,Himesuz,light novel,Đang tiến hành,227.0,58622,4.0,38466,10,NOT FOUND,9,Meiyaku,https://ln.hako.vn/thanh-vien/9,3,Sonata no Koe,https://ln.hako.vn/nhom-dich/3-sonata-no-koe,11567,Silverlord,https://ln.hako.vn/thanh-vien/11567,12,6,11,11,2016,11,11,2016
24,Boku wa Tomodachi ga Sukunai,https://ln.hako.vn/truyen/24-boku-wa-tomodachi-ga-sukunai,Truyện dịch,"['Comedy', 'Harem', 'School Life', 'Romance']",Not sure,Not sure,Not sure,japanese,https://1.bp.blogspot.com/-rPBkBOxeXnc/WO2vcR7mfqI/AAAAAAAAJyo/q-l44vPnitA/w215/series_24.jpg,Hirasaka Yomi,Buriki,light novel,Đang tiến hành,475.0,383212,24.0,220598,169,Tôi không có nhiều bạn,1,EmbersGlow,https://ln.hako.vn/thanh-vien/1,3,Sonata no Koe,https://ln.hako.vn/nhom-dich/3-sonata-no-koe,NOT FOUND,NOT FOUND,NOT FOUND,10,110,11,11,2016,11,11,2016
